,ID,DATA,TEL,CPF,SOLICITANTE,DS_RECEITA,LABEL
23,23,2020-07-27,1100000023,12345670023,Ana,"solicitacao de exame cid10: c50.9 solicito: 1. us de mamas 40901114 2. us de axilas 40901211 justificativa: paciente atualmente com 57 anos, tratada por neoplasia de mama. ultima imagem em novembro/2023. com nodulos novos, sem caracteristicas suspeitas. solicito exame para avaliacao evolutiva.",Exame
24,24,2020-12-08,1100000024,12345670024,Pedro,"uso oral 1) paracetamol 100mg/ml suspensao??????????????.frasco dar 1.3ml. via oral, de 6 em 6 horas se dor ou febre (temperatura maior que 37.8oc) ou 2) dipirona 50mg/ml suspensao???????????????.frasco dar 5 ml, via oral, de 6 em 6 horas se dor ou febre (temperatura maior que 37.8oc) ou 3) ibuprofeno 100mg/ml gotas???????????????.frasco dar 10 gotas, por boca de 6 em 6 horas se dor ou febre (temperatura maior que 37.8oc) volume liquidos: 1.000ml/dia curva termica data hora temperatura 05/02 15h 38.3oc",Receita
25,25,2020-08-09,1100000025,12345670025,Mariana,uso oral 1) amoxicilina + clavulanato 125+875mg 20cp tomar 1 cp de 12 em 12 horas por 10 dias 2) prednisona 20mg tomar 1 cp cedo por 4 dias lavagem nasal com soro pelo menos 5 vezes ao dia,Receita
26,26,2020-07-31,1100000026,12345670026,Carlos,solicito sorologia para citomegalovirus mononucleose toxoplasmose,Encaminhamento
27,27,2020-04-23,1100000027,12345670027,Paula,"uso oral: 1. amoxicilina + clavulanato solucao oral (400+57mg/5ml) dar 3ml, de 12/12 horas, por 7 dias. 2. dipirona solucao oral (50mg/ml) dar 3ml, de ate 6/6 horas, se dor ou febre (t 37.8 ou +). 3. pratium gotas (140mg/ml) dar 7 gotas, se necessario intercalar com dipirona. retornar ao psi em 48 horas se febre ou imediatamente se piora do quadro, novos sintomas ou sinais de alarme (queda do estado geral / prostracao / sonolencia excessiva, inapetencia, vomitos persistentes, sinais de desconforto respiratorio, dor intensa, manchas no corpo )",Receita
28,28,2020-12-08,1100000028,12345670028,Lucas,solicito avaliacao pre operatoria para colecistectomia videolaparoscopica pneumologista grata,Exame
29,29,2020-06-24,1100000029,12345670029,Juliana,"uso oral: 1 prednisona 20mg tomar 1 cp vo de 12/12h por 05 dias 2 loratadina 10mg tomar 1 cp vo ao dia por 05 dias 3 dipirona 1g tomar 1 cp vo de 6/6h se dor e ou febre 4 acetilcisteina 600mg diluir um envelope em 50ml de agua, tomar a noite, por 05 dias 5 sigma clav bd 875+125mg tomar 1 cp vo de 12/12h por 7 dias",Receita
30,30,2020-12-23,1100000030,12345670030,Fernando,"uso oral 1 lisador dip 1g tomar 1 comprimido via oral, de 8 em 8 horas, se dor uso topico 1 artrotop creme aplicar no local da dor, 3x ao dia lavar as maos apos aplicar",Receita
31,31,2020-06-19,1100000031,12345670031,Cristina,uso oral 1 cetoprofeno 100mg tomar 1cp de 12 em 12 por ate 5 dias 2 dipirona 1g tomar 1cp de 6 em 6 se dor 3 miosan 5mg tomar 1cp a noite por 5 dias,Receita
32,32,2020-11-14,1100000032,12345670032,Rafael,encaminhamento ao psicologo paciente em programacao de cirurgia bariatrica. solicito avaliacao e acompanhamento. grato. e669,Exame
33,33,2020-08-12,1100000033,12345670033,Patrícia,"uso oral: 1. paracetamol gotas 200mg/ml dar 35 gotas de 6/6 horas se dor ou febre 2. terapia de reidrataco oral 1.200ml de soro de reidratacao oral (pedialyte, rehidrat) 2.300ml de liquidos comuns do dia a dia (agua, agua de coco, chas, sucos naturais) obs: retornar em 48 horas para controle de plaquetas retornar imediatamente se sinais de alarme: dor abdominal intensa e continua vomitos persistentes sensacao de desmaio sinais de desidaratacao sangramentos espontaneos (narinas, gengivas, urina, fezes, vomito) falta de ar",Receita
34,34,2020-01-22,1100000034,12345670034,Vinícius,uso oral 1 flancox 500 mg 1 cp de 12/12 h por 5 dias 2 novalgina 1 g 1 cp de 6/6 h se dor,Receita
35,35,2020-09-13,1100000035,12345670035,Camila,uso oral 1) dipirona 1 g tomar 01 comprimido de 6/6 horas se dor ou febre 2) loratadina 10 mg tomar 01 comprimido de 12/12 horas por 05 dias 3) expec tomar 10 ml de 8/8 horas por 05 dias 4) prednisona 20 mg tomar 01 cp ao dia por 05 dias uso nasal 5) rinosoro jet 0.9% spray nasal 100 ml realizar lavagem nasal de 6/6 horas,Receita
36,36,2020-08-21,1100000036,12345670036,Rodrigo,"uso oral 1.dipirona solucao oral (50mg/ml) dar 4 ml, de 6/6h se dor ou febre uso nasal 1.soro fisiologico lavar o nariz com 5ml de soro em cada narina de 3/3h ou sempre que necessario e 2. inalacao com soro fisiologico 0.9% 5ml nebulizar de 3 4 vezes ao dia retornar em 48h se persistencia da febre ou imediato ao ps caso aparecam sinais de alarme",Receita
37,37,2020-12-29,1100000037,12345670037,Tatiana,uso oral 1) novalgina 1 g 01 cx tomar 01 cp de 6/6 horas se dor ou febre,Receita
38,38,2020-06-24,1100000038,12345670038,Gustavo,uso oral 1. furosemida 40mg 1cp cedo por 7 dias 2. prodnisolona 20mg 1cp x dia por 3 dias,Receita
39,39,2020-12-15,1100000039,12345670039,Isabela,uso oral 1 dipirona 1g tomar 1cp 6/6h se dor ou febre 2 florax sm tomar 1 frasco 12/12h por 2 dias 3 vonau flash 8mg tomar 1cp sublingual 12/12h se nausea,Receita
40,40,2020-03-17,1100000040,12345670040,João,uso oral 1 paracetamol 750mg tomar 1 cp vo de 6/6h se dor e ou febre,Receita
41,41,2020-06-01,1100000041,12345670041,Maria,uso oral 1. celestamine tomar 10 ml de 8/8h por 5 dias 2. profenid 100 mg tomar 01 cp de 12/12h por 5 dias 3. acetilcisteina 600mg tomar 01 sache ao dia por 5 7 dias,Receita
42,42,2020-03-22,1100000042,12345670042,José,"uso oral 1 lisador dip 1g tomar 1 comprimido via oral, de 8 em 8 horas, por 7 dias 2 maxsulid 400mg tomar 1 comprimido via oral, de 12 em 12 horas, por 7 dias",Receita
43,43,2020-12-21,1100000043,12345670043,Ana,"ao funcional paciente apresentando reducao de mobilidade de quadril, tendinite de tornozelo e reducao fraqueza do tibial. solicito exercicios que foquem em mobilidade de quadril (alongamento), fortalecimento do tibial.",Exame
44,44,2020-08-15,1100000044,12345670044,Pedro,uso oral mioflex a tomar 1 comprimido via oral a cada 12 horas por 5 dias paracetamol 500mg tomar 01 comprimido a cada 06 horas se sentir dor,Receita
45,45,2020-01-25,1100000045,12345670045,Mariana,uso oral 1. escopolamina 10mg tomar 1 comprimido de 8/8h se dor abdominal 2. ondansetrona 8mg tomar 1 comprimido via sublingual de 8/8h se tiver nauseas ou vomitos 3.soro de reidratacao oral diluir 1 sache em 1l de agua e tomar 1 copo (250ml) apos cada episodio de evacuacao liquida 4. floratil 200mg tomar 1 cp 12/12h por 3 dias,Receita
46,46,2020-11-15,1100000046,12345670046,Carlos,uso oral 1)prednisona 20mg 01cx tomar 02cp pela manha por 03 dias 2)dipirona 500mg 01cx tomar 02cp de 6/6hrs se dor ou febre 3)alektos 20mg 01cx tomar 01cp a noite por 05 dias uso nasal 4)budesonida spray nasal 100mcg 01cx usar 02 jatos em cada narina de 12/12hrs por 30 dias,Receita
47,47,2020-11-08,1100000047,12345670047,Paula,"uso oral: 1) paracetamol ou dipirona gotas dar 40 gotas, de 6/6 horas, se dor ou febre (temperatura maior ou igual a 37.8oc). 2) hexomedine spray aplicar 1 jato em cada lado da garganta, de 4/4 horas ate melhora do quadro. 3) vonau flash 4mg dar 2 comprimidos de 8/8 horas se nauseas ou vomitos. orientacoes em caso de febre: caso a febre retorne antes do horario da medicacao, dar banho ou fazer compressas de agua fria em regioes de axilas e virilha; o banho deve ser dado em temperatura ambiente (evitar banho muito frio ou quente); realizar ?diario da febre??: anotar valor e horario da temperatura, se febre; retornar precocemente se sinais de alarme.",Outros
48,48,2020-12-21,1100000048,12345670048,Lucas,"uso oral 1 dipirona 500mg tomar 1 comprimido via oral, de 8 em 8 horas, se dor 2 alivium 400mg tomar 1 comprimido via oral, de 12 em 12 horas, por 5 dias orientacoes compressa gelada local realizar 20 minutos a cada 03 horas, nao realizar diretamente sob a pele.",Outros
49,49,2020-04-24,1100000049,12345670049,Juliana,"uso oral: diosmina + hesperidina 450mg + 50mg tomar 6 comprimidos ao dia nos primeiros 4 dias, seguido de 4 comprimidos ao dia por 3 dias, e, em seguida, 2 comprimidos ao dia por 3 meses. tomar sempre de 12 em 12 horas. uso retal: proctyl supositorio aplicar 3 vezes ao dia, apos evacuacao, ate melhora dos sintomas. continuar o tratamento com uma aplicacao de um supositorio ao dia.",Receita
50,50,2020-06-23,1100000050,12345670050,Fernando,"uso oral mylanta plus tomar 10ml de 6/6h, se dor no estomago",Receita
51,51,2020-11-17,1100000051,12345670051,Cristina,"uso oral novocilin (amoxicilina) 400mg / 5ml tomar 5 ml a cada 12 horas por 7 dias. alivium gotas (ibuprofeno) 100mg/ml tomar 12 gotas a cada 6 horas, se dor ou febre.",Receita
52,52,2020-03-10,1100000052,12345670052,Rafael,"uso interno buscopan composto????. tomar 01 comprimido de 6/6 horas uso interno annita 500 mg???? tomar 01 comprimido de 12/12 horas por 03 dias uso interno imosec 02 mg????. tomar 02 comprimidos no primeiro episodio de diarreia e manter 01 comprimido a cada novo episodio, limite de 08 comprimidos nas 24 horas, nao tomar se nao apresentar diarreia. uso interno vonau flash 08 mg???. colocar sub lingual de nauseas ou vomitos ate 6/6 horas",Receita
53,53,2020-03-09,1100000053,12345670053,Patrícia,"uso oral 1 naproxeno sodico 275mg tomar 1cp de 12 em 12 por ate 5 dias 2 buscopam composto tomar 1cp de 8 em 8 se dor 3 monuril 3g tomar 1 envelope em agua, a noite, dose unica",Receita
54,54,2020-03-07,1100000054,12345670054,Vinícius,"uso oral 1 amoxicilina 400 mg/ml 01 fr dar 4 ml vo de 12/12h, por 7 dias 2 dipirona gotas 01 fr dar 12 gts vo de 6/6h, se dor ou febre (tax>37.8oc) uso nasal 1 soro fisiologico 0.9% lavar as narinas varias vezes ao dia",Receita
55,55,2020-02-11,1100000055,12345670055,Camila,uso oral: 1 ciprofloxacino 500 mg tomar 1 cp 12/12 hs por 7 dias. 2 pyridium tomar 1 cp 12/12 hs se dor. 3 buscopam composto tomar 1 cp 8/8 hs se dor abdominal. obs: retorno segunda para resultado da urocultura.,Receita
56,56,2020-10-21,1100000056,12345670056,Rodrigo,uso oral 1. florax 1cx diluir 1 flaconete 1x ao por 5 dias 2. buscopan gotas 1fr dar 20 gt ate de 8/8h se dor 3. racecadotrila 100mg 1cx diluir 1 cp em 10 ml de agua e dar 1x ao dia se persistencia de diarreia aquosa por 3 dias,Receita
57,57,2020-08-27,1100000057,12345670057,Tatiana,uso oral: 1 ciclobenzapirna 5mg tomar 01 cp as 18h 2 dipirona 1g tomar 01 cp de 8/8h se dor,Receita
58,58,2020-01-11,1100000058,12345670058,Gustavo,uso oral (continuo): venalot tomar 1 comprimido de 12 em 12 horas. venalot creme aplicar duas vezes ao dia.,Receita
59,59,2020-02-21,1100000059,12345670059,Isabela,uso oral 1. azitromicina 500mg 1cp x dia por 5 dias 2. paracetamol 500mg 1cp 6/6hs se dor ou febre 3. koide d xarope 10ml 8/8hs por 5 dias,Receita
60,60,2020-06-01,1100000060,12345670060,João,"uso oral: 1)enterogermina flaconete dar 1 flaconete,2 vezes ao dia,por 3 dias 2)desalex xarope dar 2.5 ml,via ora,1 vez ao dia,por 5 dias",Receita
61,61,2020-10-14,1100000061,12345670061,Maria,uso oral: 1 amoxicilina + clavulanato 875 mg + 125 mg tomar 01 cp de 12/12h por 07 dias.,Receita
62,62,2020-12-29,1100000062,12345670062,José,uso oral: 1 omeprazol 20 mg tomar 01 cp de 12/12h por 07 dias. 2 nimesulida 100 mg tomar 01 cp de 12/12h somente por 03 dias. 3 dipirona 500 mg tomar 01 cp de 6/6h se dor ou febre. 4 paracetamol 500 mg tomar 01 cp de 6/6h se dor ou febre.,Receita
63,63,2020-07-07,1100000063,12345670063,Ana,"uso oral 1. dipirona 1g tomar 1cp de 6/6h se dor ou febre. 2. cetoprofeno 150mg tomar 1cp de 12/12h, apos refeicoes, por ate 5 dias. uso topico 1. rifamicina topico pulverizar ferida, 4 vezes ao dia, por 7 dias.",Receita
64,64,2020-06-05,1100000064,12345670064,Pedro,"1 codeina 30 mg + paracetamol 500 mg 1 cx tomar 01 comprimido , via oral , de 8 em 8 horas se dor forte.",Receita
65,65,2020-01-31,1100000065,12345670065,Mariana,uso oral 1) dipirona 500 mg tomar 2 cp 6/6h se dor 2) plasil 10 mg tomar 1 cp 8/8h se nausea ou vomito,Receita
66,66,2020-05-25,1100000066,12345670066,Carlos,a paciente acima encontra s egestante de 23 semanas e 5 dias em seguimento pre natal regular e encontra se apta do ponto de vista obstetrico a realizar natacao e hidroginastica. att,Exame
67,67,2020-09-16,1100000067,12345670067,Paula,uso oral 1) dipirona 1g tomar 01 cp vo de 6/6 hs se dor ou febre 2) ondansetrona 8 mg tomar 01 cp vo de 8/8 hs se nauseas ou vomitos hidratacao vigorosa,Receita
68,68,2020-05-22,1100000068,12345670068,Lucas,1 dipirona 1.gr 1 cp 3x/dia se dor 2 paracetamol 750 mg 1 3x/dia 3 cetoprofeno 150 1 cp 1x/dia se dor intensa 4 hidratacao vigorosa ( 2 3lt liq/dia ),Receita
69,69,2020-09-24,1100000069,12345670069,Juliana,uso oral 1. dipirona 01g tomar 01 cp de 06/06h se dor ou febre 2. alivium 600mg tomar 01 cp de 08/08h por 05 dias 3. naire 20mg tomar 01 cp a noite por 05 dias,Receita
70,70,2020-12-09,1100000070,12345670070,Fernando,uso oral 1) allegra xarope pediatrico tomar 5 ml via oral de 12/12h por 5 dias 2) prednisolona 3mg/ml tomar 5.5 ml 1x ao dia por 5 dias,Receita
71,71,2020-11-09,1100000071,12345670071,Cristina,"uso oral 1) prednisolona dar 3.5 ml 1 vez ao dia, cedo, por 4 dias uso inalatorio 1) salbutamol spray (100mcg) fazer 3 puffs de 6/6 horas por 5 dias, com mascara e espacador uso nasal 1) soro fisiologico 0.9% realizar lavagem nasal de 3/3 horas",Receita
72,72,2020-06-25,1100000072,12345670072,Rafael,uso oral 1. enterogermina 10 fcos 1fco 12/12hs por 5 dias 2. buscopam composto 1cp 8/8hs se dor 3. dramin b6 1cp 8/8hs se nauseas ou vomitos,Receita
73,73,2020-10-06,1100000073,12345670073,Patrícia,"uso interno continuo betatrinta aplicar 1 amp, via im, dose unica prednisona 5 mg tomar 2 cp, via oral, apos o cafe da manha curcumagic (puravida) tomar 1 cp, via oral, 1 vez ao dia fixare tomar 1 cp, via oral, 1 vez ao dia risedronato 35 mg tomar 1 cp, via oral, 1 vez por semana uso topico continuo cataflam pro xt aplicar nos locais de dor, 1 a 2 vezes ao dia",Receita
74,74,2020-03-05,1100000074,12345670074,Vinícius,uso oral 1) astro 500mg tomar 01 cp de 24/24 horas por 05 dias 2) maxsulid tomar 01 cp de 12/12 horas por 05 dias 3) novalgina 1g tomar 01 cp de 6/6 horas se dor ou febre,Receita
75,75,2020-03-19,1100000075,12345670075,Camila,uso oral fosfomicina 8g diluir o conteudo de 1 envelope em 75 ml de agua. tomar dose unica,Receita
76,76,2020-07-09,1100000076,12345670076,Rodrigo,uso topico: 1. trok g passar no local 3x ao dia por 5 dias,Receita
77,77,2020-03-23,1100000077,12345670077,Tatiana,"uso oral: 1) citoneurim 5000 tomar 1 comprimido por semana por 12 semanas 2) vitamina d 50.0000 tomar 1 comprimido por semana por 12 semanas 3) ferropolimaltose 400mg tomar 1 comprimido no almoco, por 90 dias, todos os dias",Receita
78,78,2020-05-20,1100000078,12345670078,Gustavo,solicito us abdome total,Encaminhamento
79,79,2020-11-20,1100000079,12345670079,Isabela,"uso oral: 1) dipirona 500mg/ml 01 frasco dar 15 gotas de ate 6/6h, se dor ou febre. 2) desloratadina 0.5mg/ml 01 frasco dar 5 ml 1x ao dia, por 5 a 7 dias. uso nasal: 1) soro fisiologico 0.9% 01 frasco lavar as narinas com seringa, varias vezes ao dia, sempre que necessario.",Receita
80,80,2020-02-14,1100000080,12345670080,João,uso oral 1) dipirona 1 g tomar 01 comprimido de 6/6 horas se dor ou febre 2) loratadina 10 mg tomar 01 comprimido de 12/12 horas por 05 dias 3) expec tomar 10 ml de 8/8 horas por 05 dias 4) nimesulida 100 mg tomar 01 comprimido de 12/12 horas por 05 dias 5) prednisona 20 mg tomar 01 cp ao dia por 05 dias uso nasal 6) rinosoro jet 0.9% spray nasal 100 ml realizar lavagem nasal de 6/6 horas,Receita
81,81,2020-08-16,1100000081,12345670081,Maria,solicito micologico direto de raspado de lesao de membro inferior,Encaminhamento
82,82,2020-05-13,1100000082,12345670082,José,"ecoxe 90 mg tomar 1 comprimido, apos almoco, por 7 dias lisador dip tomar 1 cp de 6/6 hr se dor miosan caf 10 mg tomar 1 cp a noite por 7 dias",Receita
83,83,2020-02-22,1100000083,12345670083,Ana,bi profenid 150 mg tomar um comprimido via oral a cada 12 horas por 5 dias,Receita
84,84,2020-03-27,1100000084,12345670084,Pedro,"uso oral 1) rehidrat 90 1 cx diluir cada envelope para 500 ml de agua e tomar 2 litros durante o dia 2) florax,floratil ou repoflor 1 cx tomar 1 cp de 12/12 horas por 5 dias 3) dipirona 1g 1 cx tomar 1 cp de 6/6 horas se dor ou febre 4) bromoprida 10 mg 1 cx tomar 1 cp de 6/6 horas se nauseas ou vomitos",Receita
85,85,2020-02-15,1100000085,12345670085,Mariana,indico botox,Exame
86,86,2020-10-26,1100000086,12345670086,Carlos,"uso oral: 1. ibuprofeno gotas (200mg/ml) dar 20 gotas, de ate 8/8 horas, se dor ou febre (t 37.8 ou +). 2. hexomedine spray aplicar 2 jatos em cavidade oral, de ate 4/4 horas, se dor de garganta. uso inalatorio / nasal: 3. soro fisiologico 0.9% realizar inalacao (5ml) de 8/8 horas e higiene nasal sempre que necessario. retornar ao psi em 48 horas se febre ou imediatamente se piora do quadro, novos sintomas ou sinais de alarme (queda do estado geral / prostracao / sonolencia excessiva, inapetencia, vomitos persistentes, sinais de desconforto respiratorio, dor intensa, manchas no corpo )",Receita
87,87,2020-07-22,1100000087,12345670087,Paula,uso oral 1. lisador dip 1g tomar 01 cp de 6/6h se dor ou febre 2. paracetamol 750 mg tomar 01 cp de 6/6h se dor ou febre 3. ondif 8mg tomar 01 fita de 8/8h se nausea,Receita
88,88,2020-06-04,1100000088,12345670088,Lucas,"1. rehidrat 90 1 caixa dissolver 1 envelope em 500ml de agua filtrada e ingerir durante o dia. 2. dipirona 1g 1g tomar 1 comprimido se necessario. obs.: se dor ou febre, ate de 6/6h ou . paracetamol 750mg 750mg tomar 1 comprimido se necessario. obs.: se dor ou febre, ate de 6/6h 3. vonau flash 4mg 4mg tomar 1 comprimido sublingual, se necessario. obs.: se nauseas ou vomitos, de 8/8h",Receita
89,89,2020-11-10,1100000089,12345670089,Juliana,"uso oral: 1 dipirona 1g cx tomar 1 cp de 6h/6h se dor ou febre 2 dramin b6 cx tomar 1 cp de 8h/8h, se nausea ou vomito 3 sais de reidratacao oral 5 saches dissolver 1 sache em 1 litro de agua filtrada. tomar ao longo do dia",Receita
90,90,2020-04-10,1100000090,12345670090,Fernando,paciente com dor em articulacoes ha dias com rm da coluna com varias alteracoes. solicito avaliacao com ortopedista.,Exame
91,91,2020-04-16,1100000091,12345670091,Cristina,"tomografia computadorizada de abdome total indicacao clinica: dor apos quimioembolizacao de neoplasia hepatica. tecnica: aquisicao volumetrica multislice, com contraste endovenoso. relatorio: analise comparativa com a tomografias de abdome anteriores, notadamente a do dia 05/01/2024. achados de maior relevancia: lesao focal tratada entre os segmentos iva / ivb, apresentando pequenos focos hiperdensos de permeio sugestivos de sangramento intralesional, inalterados em relacao ao estudo pregresso. nao se observaram se focos vascularizados na lesao suspeitos para neoplasia viavel (lirads tr nao viavel). associa se disturbio perfusional adjacente a lesao. persistem sinais de trombose tumoral no ramo portal esquerdo (lirads tiv). organizacao da area de infarto no segmento iii, agora com aspecto loculado, medindo 3.5 cm. demais achados: figado de dimensoes reduzidas, com hipertrofia dos segmentos laterais do lobo esquerdo e do lobo caudado, contornos ondulados e parenquima com atenuacao heterogenea. retracao parenquimatosa e alteracao de sinal do segmento viii, compativel com fibrose confluente. outras lesoes hepaticas focais nodulares hipervascularizados subcentimetricos esparsos, sem evidencia de washout, indeterminados (li rads 3). circulacao colateral de medio calibre periesplenica, junto ao fundo gastrico, no plexo esofagico. leve dilatacao das vias biliares intra hepaticas no segmento ii, iv e viii. vesicula biliar normodistendida, com paredes espessadas e pequenos calculos radiodensos no seu interior medindo ate 0.3 cm (colecistolitiase). pancreas de dimensoes e morfologia preservadas, sem dilatacao ductal. diminuto cisto com 0.3 cm no colo, parcialmente avaliado ao metodo. baco de morfologia e dimensoes normais com parenquima homogeneo. glandulas adrenais preservadas. rins com dimensoes e espessura do parenquima normais. calculos calicinais nao obstrutivos bilaterais (ao menos 3 de cada lado), medindo ate 0.3 cm. nao ha hidronefrose. ureteres de trajeto e calibre preservados, sem calculos. bexiga com replecao parcial e conteudo homogeneo. aorta e veia cava inferior com trajeto e calibre preservados. ateromatose aortoiliaca. ausencia de linfonodomegalias.",Exame
92,92,2020-08-18,1100000092,12345670092,Rafael,hd tendinopatia distal patelar bilateral por sibrecarga (m76) cd fisioterapia 10 sessoes,Encaminhamento
93,93,2020-05-12,1100000093,12345670093,Patrícia,"uso oral: 1 tramadol 50 mg toar 01 cp , 8/8h por 03 dias se dor forte",Receita
94,94,2020-02-29,1100000094,12345670094,Vinícius,solicito: relacao proteina/creatinina na urina,Exame
95,95,2020-07-25,1100000095,12345670095,Camila,uso oral 1. cefaliv tomar 02 cp agora tomar 01 cp de 6/6h se dor 2. toragesic 10mg tomar 01 cp sublingual de 8/8h se dor,Receita
96,96,2020-12-08,1100000096,12345670096,Rodrigo,uso oral 1) lisador dip tomar 1 cp de 6h/6h se dor 2) maxsulid 400mg tomar 1 cp de 12h/12h por 5 dias aplicar gelo 3x ao dia por 10min,Receita
97,97,2020-06-19,1100000097,12345670097,Tatiana,"relatorio medico paciente vitima de acidente perfuro cortante em pe direito, com situacao vacinal antitetanica desatualizada solicito atualizacao vacinal via ubs",Outros
98,98,2020-02-24,1100000098,12345670098,Gustavo,uso oral: 1 prednisona 20 mg tomar 01 cp de 12/12h por 03 dias. 2 dipirona 500 mg tomar 01 cp de 6/6h se dor ou febre. 3 paracetamol 500 mg tomar 01 cp de 6/6h se dor ou febre. 4 vibral tomar 10 ml de 8/8h por 05 dias.,Receita
